Random waveform, supplied seed
Total number of intervals = 96 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648)
Average QPS expected = 51748
Timestamp start: 1684940946425
Timestamp end: 1684941906831

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      515.9  1353.9   173.5   224.1   244.6   381.2   434.1   461.0   480.2   503.7   541.4   645.1  3789.1 29471.4 37625.3   7434.8     7434
read      343.8   328.2   148.8   203.3   214.0   291.2   341.5   376.5   408.3   450.4   502.3   581.4  1133.9  3330.2 12271.5  67184.0    67201
read      325.8   280.1   148.8   202.4   212.5   287.7   331.4   358.7   380.9   412.2   458.5   529.1   784.0  2940.0  8839.3  85815.8    85927
read      347.4   341.6   160.7   202.4   212.8   295.3   348.6   385.3   415.9   455.9   506.4   583.1  1083.5  3898.0 11703.3  63971.8    63953
read      377.1   454.2   160.7   196.4   207.3   304.5   394.2   438.4   466.3   499.1   544.3   648.2  1263.0  5691.8 14879.9  31663.6    31595
read      332.0   303.0   148.8   203.5   214.2   293.2   339.4   367.4   390.2   420.2   462.8   534.0   771.1  3325.6 11528.0  87866.5    87879
read      494.0  1118.9   173.5   225.8   245.8   376.1   428.2   455.2   472.7   496.9   531.0   633.3  3402.2 16957.6 32508.5   7260.7     7287
read      338.0   276.4   160.7   201.6   211.8   289.3   340.2   377.3   410.9   453.0   501.8   569.8  1008.7  3046.9 10676.6  62310.1    62295
read      542.1  1549.1   173.5   222.7   245.2   380.8   428.1   453.3   469.8   493.9   527.6   621.3  4846.2 31014.2 37275.9   6524.7     6561
read      509.0   962.2   148.8   203.8   217.2   394.3   496.0   563.9   610.6   661.4   726.2   848.8  2976.7 10601.1 32824.4  22538.5    22532
read      342.8   328.8   160.7   201.9   212.2   290.4   343.8   384.0   419.2   461.8   510.0   576.5   977.6  3938.7  9592.4  60567.2    60653
read      338.2   312.0   148.8   199.4   210.1   288.8   342.8   382.8   417.6   459.2   506.3   569.5   836.8  3355.9 11604.0  59008.2    59076
read      339.5   269.4   148.8   199.0   209.9   293.6   348.2   385.6   416.5   455.0   502.2   573.6   891.6  3128.1  8441.0  60047.6    60154
read      489.4   899.9   160.7   197.5   210.0   384.7   479.1   547.4   598.0   652.0   717.9   830.0  2629.0 10741.7 32619.1  22927.1    22964
read      508.9  1239.6   160.7   213.1   231.4   387.6   444.0   471.3   492.4   516.0   550.1   635.6  3702.6 20391.9 38311.6   8134.2     8172
read      494.9   864.2   160.7   205.0   217.6   370.4   471.5   539.4   600.8   675.3   762.2   905.1  2838.5  9810.8 32218.9  27717.0    27652
read      353.7   372.8   160.7   198.9   209.5   293.7   372.7   419.3   449.5   480.8   517.7   579.1   983.2  4548.1 11868.7  37428.3    37594
read      506.8   926.9   160.7   205.4   218.5   383.0   482.6   553.6   609.2   668.6   741.1   870.9  2940.7 12040.4 32428.4  24392.4    24367
read      360.8   402.4   160.7   201.2   211.3   297.5   382.8   427.9   456.2   486.0   521.2   580.6  1028.0  4914.6 11931.4  33811.7    33771
read      318.7   254.5   148.8   200.1   210.8   286.0   329.4   355.9   376.4   404.6   446.5   508.1   670.4  2868.4  9179.9  84905.2    84944
read      334.2   286.0   148.8   200.5   211.3   293.9   342.8   372.8   397.3   429.9   474.0   545.4   774.3  3726.1  9943.0  85673.4    85666
read      339.2   314.4   148.8   196.6   207.5   287.9   345.5   388.6   424.0   463.9   508.3   571.7   879.7  3863.2 10084.0  51896.4    51918
read      346.9   333.0   148.8   195.9   206.6   292.1   374.6   419.8   448.6   477.9   510.5   565.4   883.5  3507.9 12270.2  34471.3    34406
read      452.5   613.6   160.7   198.9   210.5   350.8   449.4   503.9   555.7   632.5   727.8   872.9  2270.2  7156.7 30152.7  28687.0    28664
read      352.0   334.2   160.7   198.1   208.9   293.5   370.4   417.5   449.0   481.4   519.6   583.1  1008.8  3425.2 12531.5  38222.3    38289
read      488.5   891.9   160.7   198.8   211.6   380.5   473.3   540.5   585.9   632.7   690.0   800.8  2646.7 11039.9 32062.1  20673.0    20658
read      518.0  1261.4   160.7   200.8   214.6   384.0   470.1   514.2   544.5   578.8   623.1   712.7  4048.5 23708.6 36861.8  13823.7    13840
read      338.7   341.1   148.8   200.6   211.3   293.1   338.0   364.4   385.3   413.0   455.1   531.8  1424.6  4090.0 11900.6  93329.9    93419
read      323.4   289.4   148.8   201.0   211.5   288.6   331.0   355.6   373.7   399.3   436.0   503.6   760.2  3440.9 11520.3  98254.2    98284
read      331.6   245.6   148.8   201.5   211.7   290.6   338.9   369.4   394.9   428.9   475.1   547.8   862.9  3015.0  8844.1  71235.1    71313
read      341.3   329.9   148.8   195.8   206.6   287.8   355.7   401.6   434.4   468.3   506.8   566.0   931.2  3639.0 11464.3  42170.7    42089
read      345.5   332.8   160.7   202.0   212.6   290.4   352.4   400.1   437.6   476.1   518.5   576.8   898.7  3559.0 11630.4  46484.2    46458
read      394.3   519.3   160.7   200.3   211.4   317.2   409.3   453.8   482.9   516.5   569.6   717.4  1332.8  6043.8 25034.9  30918.3    30755
read      361.6   461.8   160.7   196.9   207.8   293.3   364.5   412.9   448.2   485.2   529.7   598.8  1173.4  5388.0 17059.6  42902.8    42889
read      321.3   274.7   160.7   198.4   209.1   286.3   330.2   355.8   374.8   401.8   442.0   508.6   739.9  3177.1 10854.0  93415.1    93552
read      332.5   318.9   148.8   199.0   209.8   289.7   339.4   370.9   397.8   434.0   481.7   548.6   792.0  3455.2 13001.9  65583.5    65694
read      442.3   673.3   160.7   200.7   212.1   340.8   436.6   487.3   528.5   591.4   689.3   833.6  2093.6  8540.3 31102.7  29421.5    29574
read      347.3   311.7   148.8   201.2   212.0   295.8   356.4   399.1   434.4   473.7   519.6   584.5   857.2  3601.3 10881.8  51400.2    51355
read      338.6   311.5   160.7   199.5   210.4   294.1   345.0   378.3   405.9   444.8   493.9   566.3   854.2  3438.7 11491.4  67392.1    67361
read      490.3  1265.3   160.7   198.1   211.1   374.8   459.3   509.2   544.4   581.6   627.0   717.4  3422.6 12175.2 32412.6  16290.1    16287
read      336.1   308.5   148.8   200.2   211.1   291.4   337.5   365.9   389.6   422.1   468.8   547.5  1209.2  3311.0 11738.2  81479.5    81508
read      331.4   313.7   160.7   201.0   211.6   293.4   339.5   366.8   388.9   418.3   461.2   532.2   776.2  3532.8 12460.0  87764.0    87619
read      327.2   319.9   148.8   201.9   212.5   291.5   334.6   359.8   378.8   403.6   441.9   506.4   752.9  3653.8 11190.6  98964.1    99068
read      339.4   279.5   148.8   200.1   210.7   290.5   346.8   389.6   423.3   462.0   505.6   567.2   871.9  3396.7  9888.6  51318.6    51267
read      512.8  1284.6   160.7   206.2   220.5   382.7   459.2   497.4   523.2   551.4   590.6   679.0  3922.7 19755.8 38639.6  11841.2    11822
read      342.8   418.7   160.7   204.6   216.3   297.7   342.6   370.0   392.6   422.2   465.2   540.8  1202.3  4179.0 12527.9  97325.6    97494
read      324.2   824.1   160.7   203.8   214.4   288.3   329.0   353.7   372.8   399.2   438.3   504.5   695.9  3144.5 10833.0  97272.7    97350
read      340.2   354.7   160.7   202.7   212.7   290.0   343.1   383.9   418.8   460.3   505.7   565.9   820.5  3807.2 12364.6  55489.8    55460
read      327.8   306.0   160.7   202.4   212.7   290.9   335.7   362.8   384.5   414.1   458.6   527.9   719.7  3407.7 10466.7  86006.3    85984
read      328.9   317.4   160.7   199.1   209.8   290.2   337.5   365.4   387.7   417.3   460.7   532.4   748.5  3289.9 12206.1  81867.5    82043
read      341.1   414.0   148.8   198.6   209.3   293.0   350.2   389.5   420.8   458.8   503.2   569.9   865.0  3520.3 10189.1  52859.2    52873
