Random waveform, supplied seed
Total number of intervals = 350 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842)
Average QPS expected = 50036
Timestamp start: 1684939887598
Timestamp end: 1684940848098

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      502.4  1323.6   173.5   223.4   242.8   374.3   431.0   460.7   481.9   506.6   542.4   635.9  3261.9 27411.3 37927.1   7356.0     7434
read      358.0   382.8   160.7   201.9   212.8   300.3   354.5   390.6   422.2   466.0   525.9   610.4  1255.2  4815.3 14675.8  66891.3    67201
read      331.8   210.2   160.7   202.0   213.1   299.5   347.8   375.4   397.2   425.1   463.6   527.5   739.9  2777.4  7823.7  85994.5    85927
read      347.9   267.9   160.7   205.0   217.3   307.7   362.8   395.9   421.9   454.7   498.0   564.4   863.4  2960.3  8505.8  64293.5    63953
read      405.9   639.5   160.7   199.2   210.5   314.4   400.3   444.0   473.1   506.8   561.1   709.2  1935.3  7651.6 31009.6  31484.4    31595
read      344.2   334.4   160.7   203.9   215.9   305.2   355.3   384.3   405.6   434.5   474.3   539.9   769.4  4275.9  9995.1  87816.7    87879
read      490.1  1380.0   160.7   212.4   231.3   346.0   393.2   421.0   442.1   468.7   507.7   588.2  4227.4 30277.7 39758.0   7268.0     7287
read      363.3   276.2   160.7   201.4   213.0   307.6   365.8   402.1   432.6   472.5   527.2   635.6  1394.2  3009.9  7867.3  62386.9    62295
read      484.1  1242.1   160.7   213.1   232.7   338.0   381.6   406.0   425.9   451.1   490.1   616.5  3893.5 15024.8 36912.5   6624.0     6561
read      509.6  1147.6   160.7   199.0   212.2   377.1   475.5   547.0   599.0   653.8   721.4   842.0  3500.6 15774.3 37850.5  22373.1    22532
read      361.4   416.8   160.7   200.5   211.9   302.8   357.8   392.7   421.7   459.2   509.9   591.3  1351.3  4961.6 14756.7  60715.3    60653
read      347.8   283.4   160.7   200.3   211.5   299.8   354.9   389.5   417.5   453.4   500.2   571.3  1204.6  3514.9 11316.7  59094.9    59076
read      350.0   387.9   160.7   199.9   211.0   302.6   357.5   390.0   415.5   449.0   494.3   560.2  1152.9  3861.8 16581.1  60081.1    60154
read      459.2   851.1   160.7   197.1   209.4   358.3   438.7   492.4   539.4   600.7   673.5   795.2  2318.7 10782.0 33459.6  22840.0    22964
read      485.5  1287.5   160.7   209.4   226.4   352.6   407.6   436.1   458.8   485.4   521.1   608.7  3646.7 25517.9 37498.2   8171.6     8172
read      496.1   959.4   160.7   199.3   211.3   351.2   446.7   509.2   575.5   666.6   772.8   933.2  2868.2 11446.3 32350.8  27576.7    27652
read      360.2   470.3   160.7   197.5   208.6   302.7   369.5   408.6   436.2   468.1   505.7   570.5  1043.3  6874.1 23100.0  37694.5    37594
read      475.2   816.7   160.7   202.0   213.6   363.8   456.3   519.4   576.9   645.7   724.7   847.8  2767.9 10691.1 31249.3  24379.3    24367
read      369.1   397.5   160.7   200.6   211.3   307.7   382.8   423.8   452.0   483.9   525.9   625.2  1113.5  4195.7 14772.6  33680.0    33771
read      352.0   416.3   160.7   205.0   217.8   310.9   361.4   390.4   412.4   439.8   479.3   543.0   814.4  5221.8 18492.8  85016.4    84944
