#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      273.4   221.7   148.8   191.2   200.6   253.0   282.6   301.0   315.2   332.1   352.9   384.0   465.9  2222.2  9663.3  29881.8    30000  1683876732437  1683876742582
read      277.0   220.2   160.7   192.7   202.6   255.4   286.4   305.5   319.5   337.2   358.7   389.9   471.1  2873.5  9249.3  30083.3    30005  1683876744091  1683876754218
read      278.2   271.9   148.8   190.8   199.4   253.4   286.3   306.4   320.6   338.9   360.7   392.2   482.0  3424.0 12796.6  29993.9    30010  1683876755726  1683876765837
read      278.9   236.9   160.7   192.3   201.8   254.9   287.2   307.6   322.1   340.6   363.4   396.1   492.1  2765.1 10025.4  29899.2    30015  1683876767347  1683876777456
read      278.3   257.3   148.8   190.4   199.7   253.4   286.0   306.5   321.3   340.6   363.6   395.8   491.6  3153.2  9320.0  29961.0    30020  1683876778971  1683876789081
read      276.4   243.1   148.8   190.7   200.1   253.3   284.0   303.1   317.6   335.2   356.8   389.4   483.2  3214.0 11577.6  30029.0    30025  1683876790588  1683876800699
read      269.6   202.2   160.7   191.2   199.4   248.3   276.8   296.1   311.3   328.6   349.9   380.1   464.6  2038.3  8592.1  30087.5    30030  1683876802207  1683876812312
read      276.6   245.3   148.8   192.9   202.5   252.3   282.4   301.5   316.2   333.7   354.9   386.3   478.6  3439.0 11073.0  30000.3    30035  1683876813821  1683876823932
read      278.0   236.9   148.8   191.6   200.6   254.2   286.3   306.3   320.8   339.5   361.9   393.7   490.2  3094.7  9488.8  30067.6    30040  1683876825444  1683876835555
read      279.1   228.5   160.7   192.6   202.6   257.4   287.8   306.7   320.4   338.4   360.4   393.6   493.7  3170.5  9500.6  29944.0    30045  1683876837065  1683876847173
read      276.2   210.4   160.7   191.9   201.4   256.3   287.9   307.0   320.5   338.2   359.6   390.4   467.3  2098.5  9484.1  30053.4    30050  1683876848681  1683876858787
read      276.7   225.3   160.7   193.6   203.4   255.6   286.4   305.5   319.2   337.0   358.8   390.8   476.7  1974.4  9487.6  30075.5    30055  1683876860300  1683876870409
read      274.5   233.6   160.7   190.7   199.5   251.8   282.6   302.1   316.8   334.5   355.8   387.1   469.0  3113.8 10864.4  30036.5    30060  1683876871918  1683876882021
read      274.3   248.0   148.8   190.3   199.3   252.1   282.3   301.1   315.7   333.3   355.1   387.7   474.6  2252.2 11712.2  30114.7    30065  1683876883533  1683876893645
read      278.9   231.9   148.8   191.1   200.3   254.8   287.6   307.9   322.7   341.4   364.0   396.7   498.5  3092.8  9779.6  29986.5    30070  1683876895155  1683876905259
read      270.3   220.3   148.8   189.7   197.8   248.5   277.9   297.2   312.7   330.6   352.8   385.1   467.4  2046.3 10944.8  30095.7    30075  1683876906769  1683876916882
read      273.9   195.0   148.8   190.8   200.0   254.1   285.1   304.1   318.1   335.7   357.3   388.9   468.8  2018.0  8672.4  30086.4    30080  1683876918394  1683876928507
read      274.0   216.1   148.8   190.5   198.9   250.3   280.7   300.2   315.4   333.6   355.7   388.6   493.2  2770.3  8696.8  30009.8    30085  1683876930017  1683876940129
read      270.5   233.1   148.8   189.6   198.1   248.9   277.1   295.7   310.6   327.6   348.5   379.2   466.2  2374.8 11312.7  30107.8    30090  1683876941638  1683876951748
