Random waveform, supplied seed
Total number of intervals = 96 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648)
Average QPS expected = 51748
Timestamp start: 1684941973193
Timestamp end: 1684942933603

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      511.4  1190.7   160.7   224.2   245.4   400.9   455.3   483.4   502.1   526.1   556.4   628.9  3735.9 18809.2 38193.0   7407.8     7434
read      351.9   331.9   148.8   202.5   212.8   291.5   346.0   388.4   428.0   486.7   550.7   624.2  1113.3  3458.4 13699.1  67112.9    67201
read      346.3   332.4   160.7   203.9   215.1   296.9   349.3   384.6   414.0   455.0   509.6   587.3   845.6  3914.1 10845.5  85935.4    85927
read      356.2   363.4   160.7   200.6   211.4   295.1   355.6   400.0   440.9   497.6   556.1   625.6   987.6  3872.5 14393.9  63875.3    63953
read      387.3   319.2   160.7   202.5   213.4   319.5   430.2   488.8   522.1   554.3   591.0   648.3  1017.7  3909.6 11408.5  31673.7    31595
read      340.0   310.6   160.7   203.6   214.5   293.4   342.8   375.0   402.7   441.6   497.7   575.9   818.7  3479.7  9456.0  87830.4    87879
read      512.4  1348.6   173.5   226.7   248.4   394.0   448.4   478.2   498.0   521.7   551.6   629.4  3401.9 26772.0 40014.0   7315.4     7287
read      359.7   324.8   160.7   202.8   213.5   298.3   362.4   409.3   453.3   507.8   564.9   633.7  1066.4  3476.9 13603.0  62349.9    62295
read      514.2  1280.9   160.7   228.2   250.7   388.3   436.9   465.4   485.5   506.7   540.9   633.5  3659.2 21696.0 42915.8   6626.8     6561
read      498.7   936.2   160.7   204.2   217.4   397.5   505.3   571.2   616.4   663.6   720.5   820.4  2705.4  9763.4 33299.4  22510.3    22532
read      362.8   347.9   148.8   201.2   211.8   296.8   361.2   411.2   458.8   515.0   573.0   640.7  1148.3  3952.2 11977.4  60694.4    60653
read      357.7   385.8   160.7   203.3   213.9   296.7   360.0   408.7   455.2   510.8   566.6   629.4   878.6  3713.3 14823.1  58936.9    59076
read      352.0   277.4   160.7   200.9   211.6   295.4   358.2   404.9   449.4   504.8   560.0   623.0   816.9  3285.8  8789.9  60011.0    60154
read      490.6   834.3   160.7   202.7   215.3   397.8   503.2   562.9   607.8   656.6   714.3   807.5  2271.1 11146.4 31505.4  23069.7    22964
read      530.6  1288.7   160.7   221.7   240.9   402.3   459.7   489.2   508.0   533.0   565.8   642.1  4026.4 25407.2 37380.1   8187.4     8172
read      500.6   867.4   160.7   204.9   217.9   386.3   500.5   561.1   609.5   670.1   744.7   885.1  2638.1 11115.3 32404.4  27586.9    27652
read      376.9   356.5   160.7   197.0   208.4   303.7   406.0   473.9   513.4   549.1   588.5   642.0  1070.3  3808.3 12393.6  37554.6    37594
read      526.6  1054.5   160.7   204.0   216.9   403.1   512.7   579.0   627.2   679.3   741.9   870.3  2833.9 13216.6 32471.5  24343.1    24367
read      386.5   468.9   148.8   197.6   209.2   309.4   420.5   482.6   517.7   549.5   585.6   637.0  1088.0  5012.9 20379.5  33761.4    33771
read      336.8   251.9   148.8   203.6   214.6   293.5   345.1   379.9   408.9   449.5   504.9   578.1   747.3  2696.1  8776.5  84934.7    84944
read      354.6   357.0   148.8   205.8   218.3   305.0   362.0   399.8   431.5   473.3   530.2   609.2   869.9  3396.1  8774.2  85591.3    85666
read      362.4   317.5   160.7   199.7   211.0   299.6   370.4   428.1   478.9   530.7   580.7   637.1   885.9  3473.3 11539.8  51886.5    51918
read      378.9   366.5   160.7   199.0   210.5   309.3   417.2   480.2   516.3   549.2   585.0   633.8   947.0  4054.3 14061.5  34496.5    34406
read      491.6   894.2   160.7   202.0   214.0   374.2   486.7   543.8   587.2   644.0   724.6   864.9  2776.7 10548.4 32048.5  28651.0    28664
read      375.9   389.7   160.7   198.4   209.7   304.6   403.1   469.9   510.2   546.7   585.6   638.5   976.1  4056.6 14686.6  38373.8    38289
read      524.2  1107.3   160.7   202.8   215.3   398.9   501.4   562.2   607.3   655.7   714.7   828.1  3637.8 12362.3 36765.3  20667.0    20658
read      529.8  1192.4   160.7   208.3   223.3   406.0   497.3   541.1   570.5   603.0   643.7   733.5  3960.5 14722.8 37109.5  13882.6    13840
read      357.6   383.1   148.8   204.1   215.8   301.5   352.9   385.7   412.4   449.9   503.6   587.4  1521.1  4329.9 12114.5  93401.2    93419
read      337.7   324.7   148.8   203.9   215.0   295.0   342.9   372.7   397.8   430.9   479.3   554.1   764.8  3906.5 11327.9  98349.6    98284
read      348.6   321.8   148.8   203.8   214.6   295.2   349.5   389.8   426.2   478.2   542.9   615.7   814.5  3602.5  8945.1  71358.2    71313
read      372.1   321.7   160.7   203.0   213.8   307.4   390.1   456.9   502.5   545.2   588.3   640.6   923.6  3290.1 12004.1  42199.8    42089
read      363.5   318.6   160.7   201.7   212.2   299.6   371.8   435.2   483.6   531.3   576.5   630.0   896.1  3821.1  9438.8  46478.4    46458
read      426.0   726.2   160.7   204.9   216.9   333.0   442.5   498.4   532.5   568.8   615.7   724.1  1499.7  9185.0 31787.6  30593.5    30755
read      363.6   424.1   160.7   201.2   211.7   301.1   379.5   446.1   491.3   535.1   577.1   628.0   872.7  3164.8  9073.6  42985.8    42889
read      333.2   244.0   148.8   203.8   214.4   293.2   341.5   371.0   395.8   429.1   477.4   555.4   744.1  3165.0  7346.8  93486.0    93552
read      351.5   335.5   160.7   203.3   213.8   295.6   351.3   393.4   431.6   484.0   545.3   614.4   891.4  4189.9 10647.7  65602.3    65694
read      463.2   759.4   148.8   205.4   218.1   353.1   463.1   519.5   558.4   610.8   693.1   836.4  2348.4  9048.9 31625.8  29544.0    29574
read      368.0   299.3   148.8   202.6   213.1   302.3   371.0   432.4   483.6   536.9   587.6   651.8  1085.3  3135.7  9553.2  51450.0    51355
read      347.9   330.3   160.7   203.3   213.7   293.7   346.8   387.7   425.9   479.3   544.8   613.9   851.4  3153.2 13464.9  67588.1    67361
read      514.8  1103.6   160.7   211.5   226.0   395.0   487.8   541.0   575.7   614.1   662.0   748.1  3666.7 15074.1 35498.9  16275.8    16287
read      345.9   314.3   160.7   204.4   215.4   295.3   346.3   380.4   409.7   452.4   514.4   592.5  1051.8  3518.6 11198.2  81345.3    81508
read      337.6   307.2   148.8   203.9   214.4   291.9   341.1   372.1   399.1   435.5   490.5   569.4   790.1  3661.2  9839.7  87442.2    87619
read      344.7   335.4   160.7   205.9   218.1   300.2   350.5   381.8   406.0   439.8   487.7   563.2   798.3  4055.7  9939.3  99196.8    99068
read      363.7   365.4   148.8   202.3   212.7   299.5   366.6   424.8   473.4   526.9   576.2   632.1   922.3  4040.1 12884.6  51326.7    51267
read      526.4  1117.4   160.7   210.8   226.5   406.6   483.4   523.6   548.4   579.4   621.0   712.1  4362.5 14949.5 32349.6  11769.1    11822
read      348.7   404.9   148.8   204.8   216.4   298.1   346.1   376.1   401.4   435.9   487.4   568.7  1419.1  3945.4 12523.6  97510.0    97494
read      343.2   600.9   160.7   205.8   218.0   299.8   349.3   380.1   404.3   437.2   485.5   560.0   779.2  3769.2 13219.5  97363.8    97350
read      357.5   342.4   148.8   201.9   212.4   297.9   364.0   415.5   461.5   515.6   568.2   626.5   886.7  2989.0 11936.4  55536.8    55460
