Random waveform, supplied seed
Total number of intervals = 350 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842)
Average QPS expected = 50036
Timestamp start: 1684938832147
Timestamp end: 1684939792652

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      450.1  1033.0   160.7   213.4   231.8   353.9   406.1   435.8   460.5   490.1   533.2   628.0  2498.2 15872.5 32248.0   7389.1     7434
read      364.0   426.8   148.8   198.4   210.0   300.9   354.7   389.5   418.1   456.6   511.4   646.8  1426.6  4292.1 13316.1  67092.0    67201
read      331.1   400.9   160.7   196.4   207.9   294.4   339.8   365.4   385.2   410.2   447.5   511.6   804.9  3893.8 14945.6  85573.1    85927
read      334.8   231.3   160.7   200.3   211.5   297.4   348.6   380.2   404.9   437.8   484.3   552.9   827.2  2584.4  8714.3  63940.7    63953
read      382.0   512.5   160.7   197.1   208.2   308.5   389.6   431.3   461.1   496.2   545.9   690.3  1421.8  6564.5 15884.5  31418.2    31595
read      324.4   283.7   160.7   198.7   209.9   292.5   337.6   363.6   383.5   408.4   445.6   507.0   709.2  2871.7  8553.1  87946.9    87879
read      466.0  1351.0   160.7   208.2   225.1   328.5   373.6   400.9   422.2   448.7   488.6   578.5  3424.5 29834.8 32390.3   7274.5     7287
read      381.5   397.0   160.7   200.2   212.0   304.6   363.2   403.6   440.0   487.4   553.6   759.2  1554.6  4648.8 10126.8  61808.0    62295
read      487.8  1394.5   173.5   215.9   236.0   340.4   386.3   412.2   431.9   458.5   495.1   581.8  3738.8 28719.2 36653.7   6638.9     6561
read      490.3   775.9   160.7   209.3   225.0   380.6   479.0   551.4   601.9   655.7   721.4   837.4  2836.1  7978.9 31562.2  22512.7    22532
read      386.1   484.4   160.7   205.3   218.5   318.9   378.8   416.9   449.2   492.5   551.9   664.9  1503.0  5016.8 15973.2  60610.5    60653
read      361.9   500.2   160.7   200.2   211.7   302.2   357.4   393.3   422.5   460.6   511.0   588.1  1274.5  6193.1 15056.4  58997.5    59076
read      354.8   282.8   148.8   203.3   214.7   307.5   366.1   403.0   433.9   473.3   524.8   596.1  1020.7  3320.6  7362.9  59942.5    60154
read      442.4   666.6   160.7   201.9   213.3   360.9   445.1   494.7   536.0   592.7   670.4   779.1  2113.6  8609.4 30342.6  23050.5    22964
read      491.2  1318.1   160.7   208.6   224.8   355.9   410.4   439.2   462.9   490.2   526.2   616.8  4027.5 28136.4 37708.2   8158.2     8172
read      460.4   759.2   160.7   196.2   208.2   347.8   447.2   504.9   559.9   644.5   746.2   901.3  2174.9  9711.6 36102.8  27516.7    27652
read      349.0   431.1   160.7   196.1   207.2   291.8   361.6   404.4   434.2   467.4   505.8   567.7   962.0  6623.2 24957.3  37641.5    37594
read      457.8   694.8   160.7   197.4   209.5   355.8   452.0   510.3   562.9   631.5   719.7   862.2  2251.5 10229.9 30901.4  24418.9    24367
read      396.9   577.5   160.7   195.0   206.1   305.2   388.4   434.2   467.7   505.4   564.7   792.3  1540.6  6641.7 30485.7  33845.5    33771
read      333.8   309.0   148.8   197.5   209.0   297.0   345.8   373.4   395.4   423.4   463.5   532.4   776.9  3281.0 10944.7  85048.0    84944
read      344.9   413.2   160.7   200.2   211.7   304.4   355.0   384.4   406.2   435.0   475.3   544.1   831.4  4087.2 15492.7  85747.6    85666
read      336.5   293.7   160.7   196.1   207.2   294.3   348.0   383.8   412.4   448.7   493.0   553.8   804.2  2908.8 10869.8  51612.4    51918
read      353.1   287.6   148.8   198.2   209.5   306.7   380.2   421.9   451.4   484.3   523.5   585.2   868.7  2940.2 12265.9  34306.9    34406
read      447.3   944.4   160.7   194.7   206.2   331.9   425.5   477.9   519.9   586.5   700.9   862.3  2058.1 10716.7 35981.5  28615.6    28664
read      348.0   343.4   160.7   196.0   207.4   302.9   367.7   407.3   435.8   470.0   509.0   570.4   817.2  3917.4 10980.6  38416.7    38289
