#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      274.9   189.5   148.8   191.5   201.5   256.5   286.1   303.9   317.4   334.8   356.5   388.5   465.4  2187.4  8356.8  29982.0    30000  1683791449977  1683791460109
read      270.6   183.1   148.8   190.6   199.9   251.2   278.8   296.2   311.1   328.6   351.8   386.5   464.7  2099.0  8037.9  30021.7    30005  1683791461620  1683791471752
read      271.0   201.2   160.7   190.4   199.0   251.0   279.7   297.0   311.4   328.0   349.5   380.7   456.8  2494.3  8510.9  30015.3    30010  1683791473261  1683791483372
read      269.0   182.0   148.8   189.5   198.2   250.2   277.9   295.2   309.7   326.9   349.7   383.0   453.8  2031.8  8429.0  29994.3    30015  1683791484883  1683791494991
read      272.7   179.8   148.8   191.6   201.4   253.7   282.7   300.1   314.2   331.2   352.3   383.8   463.4  2249.4  7951.8  30013.3    30020  1683791496501  1683791506604
read      274.9   219.9   148.8   190.8   200.2   253.3   282.5   300.2   314.6   332.0   353.9   386.3   465.5  3200.8  8223.8  30049.1    30025  1683791508116  1683791518227
read      271.5   194.8   148.8   191.5   200.9   251.3   278.6   296.0   310.8   328.3   351.8   386.1   466.1  2433.3  8443.9  30043.0    30030  1683791519736  1683791529845
read      278.4   225.9   148.8   190.8   200.7   257.1   288.2   307.4   321.2   340.4   363.4   395.9   477.6  2354.2 10391.3  29976.8    30035  1683791531352  1683791541459
read      274.0   215.1   148.8   190.5   199.9   253.9   283.9   302.1   316.5   334.4   356.5   388.2   461.6  2122.8  9636.1  30061.4    30040  1683791542967  1683791553076
read      278.0   217.3   148.8   191.9   202.4   257.6   288.0   306.8   320.6   339.6   362.3   393.9   465.3  2813.8  9098.8  29928.9    30045  1683791554586  1683791564697
read      274.9   242.4   148.8   191.8   202.0   254.4   283.1   300.4   314.2   330.8   352.0   383.6   458.1  2641.7 12051.4  30070.9    30050  1683791566203  1683791576308
read      276.6   187.2   148.8   192.1   202.2   257.0   287.7   306.5   320.2   338.8   361.7   394.0   467.4  2276.2  8558.5  30050.4    30055  1683791577820  1683791587931
read      276.7   437.7   148.8   189.9   199.4   255.7   286.6   305.1   318.6   336.7   359.1   391.4   466.9  2582.8 10238.3  30135.1    30060  1683791589439  1683791599552
read      269.5   190.0   148.8   190.3   198.9   249.3   276.7   294.9   309.8   327.4   350.3   382.7   457.3  2386.1  8539.2  30013.0    30065  1683791601060  1683791611168
read      277.4   199.8   148.8   193.4   203.5   258.3   287.4   305.4   318.8   336.9   359.9   392.7   465.9  2308.0  9400.8  30054.4    30070  1683791612677  1683791622788
read      273.5   199.6   160.7   191.1   200.6   253.8   283.3   301.3   315.8   334.0   357.1   389.7   460.9  2102.2  8707.9  30037.3    30075  1683791624295  1683791634405
read      276.0   202.5   148.8   191.1   201.3   254.9   284.7   303.2   317.9   337.1   360.8   393.7   473.2  2656.0  8511.9  30124.2    30080  1683791635916  1683791646023
read      281.9   233.5   148.8   192.9   202.9   258.0   290.3   310.7   326.2   345.9   370.2   402.1   495.6  2982.0 10973.3  30096.6    30085  1683791647532  1683791657641
read      271.7   201.4   148.8   190.0   199.0   250.8   279.2   297.2   312.7   331.0   354.4   387.9   467.1  2603.2  8790.4  29998.2    30090  1683791659152  1683791669265
read      272.7   191.7   148.8   191.2   200.4   253.0   282.9   301.2   315.9   334.3   357.0   388.9   458.0  1896.3  8537.9  30100.4    30095  1683791670773  1683791680879
