#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      265.3   224.3   148.8   181.8   190.7   243.4   273.1   292.0   306.6   323.8   345.8   377.3   469.3  2580.7  9367.1  29976.6    30000  1683791975270  1683791985407
read      261.7   215.9   137.8   179.9   189.5   243.3   271.3   288.1   300.0   315.7   336.0   365.8   438.5  2401.3  9953.4  29944.8    30005  1683791986914  1683791997039
read      263.2   204.4   148.8   180.1   189.3   241.1   270.8   290.2   305.2   323.1   345.6   378.6   488.2  2081.8  9084.7  30068.9    30010  1683791998549  1683792008664
read      267.1   220.2   148.8   182.7   191.9   247.5   276.9   295.1   309.6   326.2   346.2   374.6   461.5  2363.9 10388.6  30007.8    30015  1683792010174  1683792020288
read      265.2   236.6   148.8   182.1   191.3   244.8   273.8   292.1   306.1   322.1   343.2   373.0   457.8  2444.1  9307.6  30057.6    30020  1683792021798  1683792031909
read      260.7   215.2   148.8   182.0   190.8   240.6   268.5   285.8   298.5   315.6   336.5   366.4   443.6  2363.4  9698.4  30032.0    30025  1683792033419  1683792043528
read      264.2   207.1   148.8   183.1   192.1   245.1   273.3   290.9   304.3   320.2   341.4   370.9   456.0  2639.0  8648.7  29915.2    30030  1683792045034  1683792055141
read      263.2   195.0   148.8   182.0   191.2   245.2   273.6   291.5   305.1   320.7   341.7   370.9   456.1  1912.9  8650.9  29996.3    30035  1683792056655  1683792066765
read      259.0   566.2   137.8   179.6   188.7   237.0   265.2   282.2   295.3   313.0   334.5   365.2   458.2  2155.2  8835.3  30103.0    30040  1683792068274  1683792078389
read      258.6   205.6   148.8   181.3   190.2   238.2   265.7   282.7   296.0   314.1   336.2   367.2   449.0  2262.5  8570.1  30087.1    30045  1683792079901  1683792090018
read      261.8   186.9   148.8   182.5   191.6   243.9   271.9   289.6   302.8   318.9   339.7   369.1   444.6  1676.1  8511.3  30142.5    30050  1683792091530  1683792101643
read      262.7   221.5   148.8   180.9   190.3   243.3   271.8   289.5   302.6   318.5   339.2   368.3   450.3  2370.0  9985.0  30058.4    30055  1683792103152  1683792113260
read      260.2   222.1   137.8   179.6   188.9   239.4   268.6   286.9   300.5   318.1   340.1   370.6   456.5  2203.5 11421.3  30035.5    30060  1683792114770  1683792124883
read      261.7   218.3   137.8   180.9   190.2   241.2   269.3   287.2   300.6   318.2   340.6   371.0   454.3  2381.2 10169.0  30105.7    30065  1683792126394  1683792136497
read      269.7   218.4   148.8   182.0   191.8   252.0   283.1   300.7   314.1   329.9   349.0   376.2   450.1  2368.8  9988.8  30087.1    30070  1683792138006  1683792148116
read      258.1   202.0   148.8   182.0   190.6   238.1   265.5   282.3   295.2   312.3   333.6   364.1   443.7  2245.4  8278.8  30069.9    30075  1683792149626  1683792159737
read      261.2   197.8   148.8   179.8   189.3   241.3   269.8   287.4   300.5   317.5   339.2   368.8   452.3  2626.6  8208.5  30148.2    30080  1683792161247  1683792171355
read      261.1   193.8   137.8   180.1   189.6   242.1   271.0   288.9   302.2   318.6   340.4   370.3   443.5  2083.4  8850.6  30142.7    30085  1683792172865  1683792182967
read      264.9   208.7   148.8   181.5   191.0   246.9   275.6   293.4   306.6   321.1   340.8   368.5   439.5  2409.8  9349.0  30054.6    30090  1683792184478  1683792194589
read      258.0   177.0   148.8   179.4   188.7   238.8   267.0   284.3   297.2   314.8   336.2   366.8   445.0  2018.2  7935.2  30105.6    30095  1683792196096  1683792206199
read      261.4   207.3   148.8   182.1   191.0   241.7   269.9   287.5   300.5   317.2   338.5   368.4   445.7  1901.6 10402.0  30091.8    30100  1683792207710  1683792217822
read      265.1   190.0   148.8   180.1   190.2   248.4   278.7   296.5   310.5   325.7   344.2   371.3   441.9  2248.8  9021.3  30058.4    30105  1683792219331  1683792229441
read      267.2   218.6   137.8   181.8   191.5   248.8   278.0   295.8   310.1   326.0   345.4   373.1   441.8  2484.2  9548.5  30131.0    30110  1683792230950  1683792241056
read      261.7   205.5   148.8   182.4   191.5   243.0   270.4   287.5   300.1   316.1   336.6   366.0   435.5  2128.4  8863.4  30053.2    30115  1683792242566  1683792252674
read      258.1   214.9   148.8   179.2   188.6   238.3   266.6   283.8   296.5   313.4   334.0   363.9   442.9  2362.7  9014.7  30085.1    30120  1683792254181  1683792264295
