#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      277.9   258.3   148.8   190.7   199.5   252.5   284.6   305.5   320.8   340.4   363.3   395.0   475.1  3565.8 12117.2  30016.3    30000  1683875818540  1683875828698
read      278.2   227.8   160.7   193.0   202.7   255.0   288.1   309.5   325.2   343.8   366.2   396.9   478.0  2097.9 10929.7  29875.1    30005  1683875830207  1683875840346
read      270.3   199.3   148.8   190.1   198.2   249.0   279.8   300.3   316.2   334.8   357.1   388.0   459.7  1806.2  9777.1  30012.9    30010  1683875841857  1683875851962
read      276.0   206.5   148.8   192.9   202.9   255.3   286.0   305.5   320.0   338.3   359.8   390.0   464.4  2141.0 11232.6  30021.4    30015  1683875853474  1683875863586
read      273.4   224.0   148.8   191.1   199.8   251.6   282.8   303.2   318.5   337.3   359.6   390.2   462.1  1777.2  9410.6  30123.2    30020  1683875865097  1683875875204
read      277.6   222.9   160.7   190.9   199.8   254.3   287.4   307.9   322.7   341.4   364.0   395.5   471.8  2875.8 10130.5  29967.6    30025  1683875876714  1683875886823
read      278.4   207.7   148.8   190.5   200.0   256.5   289.4   310.1   325.5   343.8   366.4   397.9   478.4  2652.1  8654.8  30033.2    30030  1683875888329  1683875898442
read      278.4   238.3   148.8   191.4   200.6   254.9   287.0   307.2   322.0   340.4   362.3   393.0   470.0  3494.4  9853.0  30053.3    30035  1683875899952  1683875910058
read      280.3   240.4   148.8   191.8   201.4   257.0   289.8   310.3   325.2   343.3   365.6   396.0   471.9  3070.6 10661.6  30026.4    30040  1683875911569  1683875921679
read      272.7   247.9   148.8   189.3   197.2   249.6   280.6   300.6   316.0   334.3   356.4   387.6   460.1  3297.8 11074.1  29995.3    30045  1683875923192  1683875933298
read      276.4   225.3   148.8   191.4   200.9   253.5   285.3   305.4   320.0   338.7   361.3   393.0   469.6  2620.4  9328.3  30114.3    30050  1683875934806  1683875944912
read      276.9   218.1   148.8   191.0   199.7   254.2   288.4   309.2   324.0   342.4   365.1   396.1   470.3  2101.5 10250.0  30027.9    30055  1683875946422  1683875956528
read      270.6   199.9   148.8   188.8   196.3   248.5   281.0   302.0   317.3   335.4   356.8   386.5   457.8  2240.7  8860.3  30104.4    30060  1683875958041  1683875968148
read      275.9   234.1   148.8   191.3   200.1   252.1   284.9   305.5   320.0   338.4   360.3   391.4   467.6  3081.1  9292.2  30004.0    30065  1683875969661  1683875979763
read      271.7   236.5   148.8   189.5   197.3   247.5   278.9   299.4   315.3   334.1   356.9   388.7   464.3  2740.3 10839.5  29994.8    30070  1683875981269  1683875991378
read      273.2   220.9   148.8   190.0   198.5   250.8   281.9   301.9   317.2   335.6   357.7   389.3   467.8  2425.5  9977.3  30088.9    30075  1683875992887  1683876003001
read      275.9   226.7   160.7   191.1   199.9   252.2   284.7   305.9   321.3   340.6   363.6   395.7   474.6  2360.9 12039.4  30076.5    30080  1683876004513  1683876014632
read      276.1   215.5   148.8   189.7   198.4   252.7   286.4   307.6   322.9   341.4   363.7   395.6   475.1  2590.3  8749.3  30133.1    30085  1683876016143  1683876026247
read      276.0   242.7   148.8   189.0   197.4   252.4   285.4   305.9   320.7   339.3   361.8   394.0   478.9  2669.5 11396.1  30083.9    30090  1683876027757  1683876037868
read      271.3   212.7   148.8   190.0   197.8   248.0   279.3   300.3   316.3   335.2   357.8   389.5   469.5  2278.4  8973.9  30172.3    30095  1683876039374  1683876049484
read      276.6   223.0   148.8   191.4   200.7   253.5   285.9   306.7   322.0   341.3   364.6   396.6   478.3  2402.3  9488.2  30113.9    30100  1683876050995  1683876061118
read      275.4   254.4   148.8   189.9   198.3   251.0   283.3   304.1   319.6   338.8   361.8   394.1   470.3  2520.9 12559.0  29983.5    30105  1683876062632  1683876072743
read      273.8   251.0   148.8   189.2   197.2   250.8   282.4   302.4   317.2   335.1   356.9   388.1   465.4  2997.9 12118.1  30172.2    30110  1683876074256  1683876084367
read      268.2   216.9   148.8   189.9   197.4   245.8   274.6   294.5   309.8   327.4   349.1   381.2   462.3  2006.4  9491.1  30023.6    30115  1683876085875  1683876095985
read      272.7   210.9   148.8   190.1   199.1   251.5   282.5   302.1   316.9   334.5   355.5   386.0   463.4  2243.1  8850.4  30060.4    30120  1683876097493  1683876107603
read      271.4   253.8   148.8   189.2   197.0   246.9   276.3   296.6   312.5   331.0   353.9   386.8   465.3  2944.8 12427.1  30151.5    30125  1683876109115  1683876119227
read      281.0   235.2   148.8   192.5   202.6   256.5   290.5   312.4   328.9   347.8   371.0   402.4   487.0  2545.3 11030.6  30155.8    30130  1683876120739  1683876130849
