#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,318.1,320.5,160.7,220.3,235.8,294.7,317.3,331.2,340.9,353.5,371.0,408.7,542.2,5769.4,9876.1,4992.4,5000,1684233246740,1684233252123
read,345.8,295.8,160.7,211.9,228.9,328.8,370.9,391.9,405.3,423.7,445.4,481.4,592.5,4426.8,12595.7,10015.6,10000,1684233253625,1684233258985
read,357.1,286.5,148.8,203.6,220.3,334.3,393.1,421.6,440.7,462.9,491.3,535.6,647.2,3916.5,12710.1,15011.0,15000,1684233260487,1684233265788
read,364.5,275.1,148.8,198.8,214.4,334.1,403.2,441.1,466.7,497.1,534.4,586.1,704.0,2160.3,12905.7,20042.2,20000,1684233267291,1684233272592
read,377.7,265.9,148.8,199.2,215.2,344.6,416.1,459.5,491.6,528.9,573.0,631.7,750.7,1968.7,12580.3,24805.6,25000,1684233274094,1684233279386
read,382.4,246.5,148.8,199.6,216.2,350.5,421.0,465.2,499.6,540.2,586.7,649.1,777.5,1259.2,9374.6,30029.8,30000,1684233280889,1684233286190
read,385.7,232.0,148.8,199.2,215.7,356.1,423.1,465.7,499.6,541.0,590.6,659.6,794.1,1337.9,9462.7,34965.0,35000,1684233287692,1684233292987
read,393.7,231.5,148.8,202.0,219.3,364.5,432.6,475.4,509.4,553.7,606.9,676.7,799.0,1763.5,8927.3,40051.2,40000,1684233294490,1684233299772
read,394.9,228.8,148.8,202.4,219.5,368.5,435.0,476.1,509.0,552.6,605.5,676.5,802.6,1223.5,9170.8,45177.0,45000,1684233301275,1684233306552
read,387.3,205.0,148.8,199.7,216.5,362.0,429.8,469.4,500.7,540.7,591.3,663.6,794.5,1121.9,7714.7,49856.6,50000,1684233308055,1684233313351
read,379.9,234.8,148.8,196.2,211.7,353.2,419.8,459.9,491.9,532.1,582.8,654.0,792.6,1352.1,8405.7,54994.4,55000,1684233314855,1684233320135
read,377.3,214.3,148.8,195.9,211.2,350.7,417.2,456.6,487.4,526.7,577.3,645.4,782.2,1920.1,9024.4,60011.4,60000,1684233321638,1684233326933
read,369.6,205.0,148.8,195.4,210.4,342.9,406.8,445.8,475.4,513.3,563.7,634.7,769.1,1123.4,8434.6,65110.4,65000,1684233328436,1684233333723
read,373.9,197.9,137.8,194.9,210.8,347.8,415.7,455.8,486.3,523.8,571.5,638.7,770.8,1165.1,7719.1,70116.8,70000,1684233335226,1684233340511
read,379.0,181.3,148.8,196.6,212.8,351.1,423.3,465.8,497.3,534.4,581.8,651.2,790.4,1061.4,5112.8,74857.4,75000,1684233342014,1684233347301
read,370.6,186.0,148.8,195.8,211.7,344.7,411.6,451.7,480.8,515.6,561.3,629.5,762.9,1179.5,7837.8,79995.0,80000,1684233348803,1684233354088
read,366.4,198.7,148.8,197.3,213.1,341.1,403.7,442.1,470.0,505.1,549.3,616.8,741.2,1105.0,8022.7,85091.2,85000,1684233355592,1684233360872
read,367.7,187.0,148.8,198.5,215.1,345.7,405.8,441.9,468.8,502.6,546.4,613.2,736.3,1015.9,7731.3,90118.2,90000,1684233362375,1684233367658
read,367.9,188.0,148.8,201.0,218.1,347.1,406.1,441.6,468.2,500.9,541.6,601.4,716.5,965.8,7791.6,94753.4,95000,1684233369162,1684233374443
read,366.0,188.4,137.8,203.2,221.0,346.4,403.0,436.8,462.4,493.1,532.5,589.6,706.6,925.6,7905.9,100190.2,100000,1684233375946,1684233381232
read,510.7,243.1,148.8,262.8,302.1,460.5,556.6,629.8,680.6,736.4,795.3,865.8,987.7,1278.0,8924.0,105054.8,105000,1684233382734,1684233388038
read,483.2,235.0,148.8,244.4,281.8,438.5,531.0,594.0,637.7,687.9,745.1,817.7,929.7,1264.5,9537.2,109584.8,110000,1684233389541,1684233394829
read,587.5,283.1,160.7,336.4,366.2,511.8,683.7,751.8,791.7,832.6,874.8,933.8,1043.6,1385.5,10100.2,107634.4,115000,1684233396332,1684233401618
read,579.9,295.1,137.8,331.7,362.7,503.9,663.9,737.7,782.7,827.0,870.7,927.1,1018.1,1640.9,11836.4,110095.4,120000,1684233403121,1684233408405
read,601.9,300.9,148.8,355.3,382.9,506.1,708.2,785.6,826.4,863.9,906.5,958.6,1059.6,1710.9,11039.8,107713.6,125000,1684233409909,1684233415208
Warning!,Detected,max,cpu,usage,>,95%
CPU,Usage,Stats,(avg/min/max):,75.74%,12.06%,100.00%
