#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end,CPU
read,320.9,346,160.7,229.6,243.6,297.2,317.8,330.9,340.3,352.1,370.1,410.6,561.9,4833.1,12793.5,5023.2,5000,1.68423E+12,1.68423E+12,1.7085
read,339.2,321.9,160.7,218.8,237.3,322.3,356,372.3,384.6,397.5,414.9,439.4,524,4230.3,12605.1,9948.8,10000,1.68423E+12,1.68423E+12,2.72934
read,349.8,180.5,148.8,213.2,232,338,385,408.3,423.9,440.4,461.3,493.6,587.9,1838.7,8551.4,14935.2,15000,1.68423E+12,1.68423E+12,2.48112
read,362.9,271,160.7,208.5,225.7,343.4,399.4,428.3,447.5,467.5,493.8,532.6,660.2,3332.6,12748.1,19856,20000,1.68423E+12,1.68423E+12,2.78229
read,355.2,229.5,148.8,205.3,220,328.3,395.2,432.1,454.5,477.3,502.7,539.3,641.2,2607.8,9338,25096.4,25000,1.68423E+12,1.68423E+12,2.18153
read,352.9,292.5,148.8,201.5,214.8,324.8,389.2,425.6,449.7,474.7,503.6,545.6,646.9,2726.6,14689.9,30016.8,30000,1.68423E+12,1.68423E+12,1.72962
read,350.6,212.5,148.8,201.2,214.5,323.8,385.5,422.8,449.3,477.8,508.9,552.3,653.9,2600,8313.6,35034,35000,1.68423E+12,1.68423E+12,3.79698
read,346.9,207.2,148.8,200.9,213.8,316.6,377.8,419,449.3,482.3,519.4,566.5,665.8,1163.6,7242.7,40103.4,40000,1.68423E+12,1.68423E+12,3.61824
read,350.1,213.6,148.8,203.1,216,321.5,382,419,447,480.3,520.5,571.6,671.3,1254.8,9862.9,45081.8,45000,1.68423E+12,1.68423E+12,5.49509
read,343.8,201.3,148.8,200.9,213.1,312.2,373.3,411,439.9,473.3,514.4,568.6,670.9,1335.3,8694.3,50064.2,50000,1.68423E+12,1.68423E+12,9.06989
read,341.5,182,148.8,202.3,214.8,314,372,405.9,432.8,464.3,502.9,554.8,660.4,1245,7979.8,54756.8,55000,1.68423E+12,1.68423E+12,11.7315
read,336.8,180.5,148.8,201.4,213.5,308,365.4,400,427.1,459.3,497.8,548.5,664.2,1322.3,5852.4,59871.6,60000,1.68423E+12,1.68423E+12,17.182
read,337.4,237,148.8,199.6,212.1,303.2,362.2,398.1,425.9,459.7,501.4,554.8,671,1608.5,9778.2,65001.1,65000,1.68423E+12,1.68423E+12,30.4518
read,327,200.4,148.8,199.8,211.2,291.8,343.8,379.7,409.1,446.9,493.2,549.5,662.5,1379.5,8886.1,70093.3,70000,1.68423E+12,1.68423E+12,23.9011
read,320.5,178.8,148.8,197.8,209.7,288.3,337.7,370,397.1,431.9,478.2,538.8,639.8,1448.9,6656.3,75245,75000,1.68423E+12,1.68423E+12,24.2857
read,314,210.8,148.8,197.2,208.6,281.7,327.5,357.9,382.3,415.1,460.5,522.2,627.6,1625.5,8142.1,79935.5,80000,1.68423E+12,1.68423E+12,62.7348
read,314.5,164.4,148.8,197.7,209.5,284.9,330.9,360.9,385,416.7,460.7,521.4,631.7,1358.2,7725.9,85080.6,85000,1.68423E+12,1.68423E+12,56.6373
read,314.1,171.3,148.8,197.9,209.7,287.2,333.8,362.4,384.7,413.4,453.4,509.6,616.2,1202,7529.3,90149.8,90000,1.68423E+12,1.68423E+12,68.8325
read,313.7,180.4,148.8,198.6,210.2,286.2,332.5,361.1,382.9,409.8,448.5,505.2,617,1441.4,8824.8,95019.6,95000,1.68423E+12,1.68423E+12,92.3499
read,306.5,138.8,148.8,197.6,209.1,282.4,326,352.5,372.7,398.7,434,489.5,593.8,986,4958.6,99871.8,100000,1.68423E+12,1.68423E+12,74.9057
read,307.9,137.2,148.8,201.1,211.7,283.1,325.5,352.1,372.4,398.9,436.1,495.5,592.5,962.7,4809.6,104813.6,105000,1.68423E+12,1.68423E+12,115.99
read,312.2,147.8,148.8,203.6,215.3,290.9,332.7,357.3,375.2,399.5,433.3,487.5,591.1,1026.2,6193.1,109841.2,110000,1.68423E+12,1.68423E+12,106.968
read,305.2,134,148.8,202.6,213.6,285.8,324.6,346.9,365.1,386.8,416.3,464.4,569.1,1236.9,4658.7,115198.6,115000,1.68423E+12,1.68423E+12,89.8771
read,302.5,172.5,148.8,201.9,212.7,281.4,318.6,341.7,359.8,381.8,413.2,465.6,569.2,934.1,7474.8,119761,120000,1.68423E+12,1.68423E+12,91.3677
read,318.3,159.8,148.8,205.7,219,296.4,337.5,361.9,380,402.6,434.4,488.9,641.9,1183.8,7282.1,124732,125000,1.68423E+12,1.68423E+12,154.09
Warning!,Detected,max,cpu,usage,>,95%,,,,,,,,,,,,,,
CPU,Usage,Stats,(avg/min/max):,76.12%,12.56%,100.00%,,,,,,,,,,,,,,
