Random waveform, supplied seed
Total number of intervals = 100 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187)
Average QPS expected = 50833
Timestamp start: 1684688471424
Timestamp end: 1684689471838

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      506.6  3096.3   160.7   239.0   265.4   385.7   435.5   463.1   484.1   508.9   545.6   617.2  2393.8 12728.3 214560.8   7437.2     7434
read      359.7  2015.1   148.8   198.1   209.4   293.4   353.6   392.0   421.3   457.2   502.6   569.9   850.7  3403.4 29415.3  67254.7    67201
read      332.3  1622.5   148.8   195.9   206.8   279.6   330.6   363.3   388.3   419.1   460.1   523.7   687.8  3120.5 12731.2  85964.9    85927
read      367.3  2147.6   148.8   198.2   209.5   293.9   355.1   394.5   424.7   461.3   506.3   571.6   859.7  4046.0 192570.3  64054.2    63953
read      448.5  3219.0   148.8   203.6   216.4   341.4   424.0   467.0   496.9   530.7   576.1   668.6  1260.2  5590.5 215407.7  31558.4    31595
read      341.5  1823.0   148.8   196.2   207.3   281.5   333.0   365.6   390.8   422.1   463.8   531.8   846.3  3503.0 22935.8  87836.1    87879
read      513.1  1424.6   160.7   228.7   251.6   376.2   423.0   449.5   468.4   494.3   530.0   613.1  4281.6 30772.0 37093.2   7300.3     7287
read      351.2   835.0   148.8   196.2   207.4   290.5   353.4   394.7   427.4   467.6   517.0   584.3  1099.6  4289.1 13516.5  62255.9    62295
read      496.8  1274.0   173.5   230.5   253.6   369.1   412.7   437.0   456.7   479.2   512.3   592.6  4023.8 28041.6 37448.9   6601.3     6561
read      488.2   824.7   160.7   204.8   219.7   395.7   491.4   547.8   587.3   627.6   678.0   801.2  2452.8 10330.1 31828.8  22433.6    22532
read      335.3   305.1   148.8   193.8   204.9   286.0   346.4   385.4   416.0   454.8   500.6   557.3   907.3  3588.3 11055.3  60547.7    60653
read      334.8   294.2   148.8   193.7   204.8   287.3   350.2   390.1   420.9   458.7   504.3   560.3   767.4  3423.4 10700.1  59011.0    59076
read      335.4   363.1   148.8   193.7   204.7   286.1   347.9   386.7   416.8   454.6   499.8   555.1   729.6  3838.3 12544.7  60190.1    60154
read      492.0   943.8   160.7   203.0   216.4   388.8   483.3   541.2   583.8   627.6   681.5   815.2  2604.6 10998.3 33342.6  23056.4    22964
read      517.8  1417.3   160.7   221.8   242.5   370.5   420.3   447.3   466.1   490.7   524.1   603.7  4862.4 30197.6 36297.7   8163.4     8172
read      503.5   941.8   148.8   201.3   214.5   385.6   490.7   558.3   606.8   658.3   739.4   902.5  2543.5 12418.5 32176.7  27663.4    27652
read      358.4   360.6   148.8   197.5   209.2   310.6   385.2   429.1   459.0   490.5   525.5   576.0   931.9  4067.1 12026.6  37435.7    37594
read      502.7   896.2   160.7   204.2   218.4   390.6   489.6   551.4   595.5   639.8   703.5   870.5  2950.7  9578.2 32251.7  24353.4    24367
read      412.0   571.4   148.8   197.5   209.5   328.0   415.5   463.8   497.6   538.7   607.1   788.2  1633.7  7205.8 29359.9  33692.5    33771
