Random waveform, supplied seed
Total number of intervals = 350 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842)
Average QPS expected = 50036
Timestamp start: 1684937690363
Timestamp end: 1684938650838

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      520.7  1588.5   160.7   211.7   230.1   349.5   397.7   425.3   446.6   473.3   514.5   618.9  5182.4 30118.2 44251.2   7268.0     7434
read      376.9   348.1   160.7   204.2   216.5   306.9   362.5   398.8   430.2   473.0   537.0   746.1  1530.5  4261.7 10906.1  66936.4    67201
read      333.3   322.7   160.7   203.1   214.5   299.3   345.1   371.2   391.9   417.7   454.4   515.0   779.4  3196.2  8107.3  85752.4    85927
read      340.2   219.1   160.7   204.0   215.7   304.2   355.6   386.5   410.7   442.3   485.3   549.0   837.5  2885.8  7666.9  63878.2    63953
read      376.1   350.1   160.7   196.7   207.8   308.2   390.1   431.2   459.7   492.3   539.1   680.6  1569.9  4118.2  9933.0  31583.3    31595
read      338.8   351.2   160.7   204.6   216.9   303.4   350.7   377.7   399.1   426.1   462.8   524.6   727.2  3761.9 11601.6  87725.1    87879
read      465.5  1147.4   160.7   213.5   231.7   337.7   384.1   411.8   432.2   459.7   497.1   583.1  4125.8 16057.1 36539.4   7230.5     7287
read      368.2   390.4   160.7   202.8   214.1   305.7   360.2   394.9   424.0   462.2   515.1   631.8  1427.0  5062.2 12437.7  61805.1    62295
read      486.1  1404.9   160.7   211.8   231.3   332.6   375.5   397.8   415.7   437.7   473.6   623.0  4046.8 30110.6 36923.8   6550.5     6561
read      480.3   730.2   160.7   199.5   212.3   378.7   474.4   543.6   597.1   653.6   724.3   847.9  2712.2  8626.2 30863.3  22562.5    22532
read      351.2   345.8   160.7   203.4   214.7   301.9   355.7   390.0   418.5   456.5   505.3   582.1  1115.0  4442.5 11315.5  60482.5    60653
read      353.2   373.6   160.7   203.5   214.9   300.3   353.8   389.6   419.9   458.7   506.4   576.7  1140.8  4042.9 15722.5  58840.0    59076
read      366.6   337.4   160.7   206.8   219.9   314.4   373.8   411.9   442.1   481.5   532.0   609.9  1171.9  4346.9  7992.0  59872.0    60154
read      480.4   874.9   160.7   202.8   214.4   368.8   455.0   508.5   558.9   624.2   702.2   821.4  2793.1 11564.3 31775.4  23096.0    22964
read      438.2   758.3   160.7   213.7   231.3   359.0   414.0   444.8   468.7   498.2   535.8   616.3  3009.3  5615.8 36344.7   8238.2     8172
read      506.9   921.5   160.7   205.2   218.3   368.7   471.9   551.0   614.2   679.1   764.6   911.7  2949.8 14384.8 31663.5  27536.7    27652
read      344.2   259.4   160.7   201.8   211.9   295.5   368.7   413.6   443.9   476.7   513.3   566.4   828.8  3603.5  7985.9  37412.4    37594
read      494.8   931.2   160.7   204.7   217.9   370.7   462.4   527.9   583.8   642.8   712.5   838.8  3058.2 11079.1 35303.7  24305.8    24367
read      378.3   666.6   160.7   196.8   208.0   304.9   385.0   428.7   457.3   488.0   525.8   600.3  1151.3  7897.8 35444.4  33893.1    33771
read      333.6   237.4   160.7   200.4   211.7   299.8   348.9   377.0   398.9   427.0   465.9   531.4   759.3  3120.2  6882.1  85029.8    84944
