Random waveform, supplied seed
Total number of intervals = 220 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312)
Average QPS expected = 50394
Timestamp start: 1684772574506
Timestamp end: 1684773675000

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      470.3   944.0   173.5   236.8   258.5   378.6   425.9   451.5   468.4   491.9   523.9   592.8  2984.3 12166.5 32368.0   7426.6     7434
read      351.3   312.0   160.7   207.5   219.7   295.1   350.1   393.0   429.0   473.6   526.7   596.1  1006.7  3884.1 10663.9  66986.6    67201
read      314.7   184.7   160.7   205.3   215.8   278.2   318.4   346.8   371.9   406.1   456.6   522.1   639.2  2305.3  7407.2  86009.4    85927
read      341.5   331.4   160.7   207.4   219.3   290.6   343.5   385.3   420.2   463.8   513.8   575.5   733.9  3683.3 12091.5  64061.8    63953
read      429.9   614.1   160.7   211.3   224.7   350.3   436.8   485.0   518.8   559.1   618.6   722.6  1756.7  7350.3 31135.7  31664.6    31595
read      330.8   308.7   148.8   205.2   215.9   281.1   323.0   353.2   379.2   416.0   468.5   542.3  1075.4  3450.7 10828.1  87770.0    87879
read      484.5  1272.9   173.5   231.0   250.9   364.9   405.5   428.6   445.2   464.8   495.0   589.2  3131.2 26395.5 39002.4   7297.4     7287
read      378.1   396.2   160.7   207.3   219.6   303.8   375.4   428.6   468.9   517.4   577.7   714.1  1227.5  3955.3 15585.8  62073.4    62295
read      439.1   616.5   173.5   237.1   260.2   364.9   402.3   424.8   440.3   461.3   491.1   565.2  3161.6  7694.0 16113.6   6519.8     6561
read      471.1   704.4   160.7   214.2   229.7   377.6   470.0   526.8   564.6   603.3   646.7   727.2  2966.4  7317.4 31434.6  22472.6    22532
read      362.2   339.7   160.7   207.4   219.7   298.8   360.9   408.5   447.8   492.6   543.4   623.6  1113.7  3688.2 10993.0  60782.8    60653
read      343.6   242.1   160.7   207.3   219.5   294.3   350.7   394.7   431.1   473.6   521.1   579.2   742.8  2954.8  9013.8  59192.8    59076
read      342.8   254.7   160.7   206.4   218.4   293.6   350.2   394.7   431.4   475.7   524.0   581.5   720.3  3614.6  8507.9  60143.2    60154
read      458.9   700.1   160.7   214.9   229.4   370.9   459.9   512.9   551.0   595.0   639.4   722.0  2194.0 11155.8 31396.6  22977.6    22964
read      522.5  1322.0   173.5   228.4   248.1   375.4   424.3   450.3   467.7   492.1   528.1   738.3  3862.7 24898.4 37914.6   8185.0     8172
read      498.0   912.1   160.7   215.0   230.4   380.9   470.4   532.3   579.3   628.1   683.5   789.7  2934.2 12141.4 32131.2  27704.0    27652
read      379.0   525.2   160.7   208.1   220.4   307.9   397.8   449.2   481.7   514.5   549.0   607.9  1001.6  6146.8 24274.1  37615.4    37594
read      454.8   690.2   160.7   212.8   227.1   365.2   452.5   504.9   542.6   584.1   631.7   709.7  2550.8  8065.2 31448.9  24282.8    24367
read      430.3   575.7   160.7   209.6   223.2   356.8   438.7   486.8   522.9   568.6   630.5   726.0  1868.3  6345.1 26896.4  33739.6    33771
read      316.2   216.1   160.7   205.1   215.5   278.2   318.5   346.4   371.6   406.4   457.7   524.1   671.8  2528.7  6781.5  84812.4    84944
read      323.5   290.5   148.8   206.1   217.3   282.9   325.2   355.4   380.4   415.1   463.4   529.6   673.8  3186.2  9786.3  85519.0    85666
read      361.0   285.2   160.7   210.1   222.6   305.9   371.9   422.4   460.1   501.7   546.3   606.8   856.8  3552.0  8624.5  52074.6    51918
read      392.3   440.5   160.7   207.6   220.2   323.9   414.2   460.6   490.9   524.0   564.7   639.7  1302.2  5314.4 14124.8  34425.8    34406
read      466.2   700.7   160.7   213.5   228.4   376.9   462.6   515.3   556.3   605.3   665.5   763.0  2204.9  9731.5 29688.2  28678.8    28664
read      377.7   482.2   160.7   207.3   219.7   309.8   396.8   447.1   479.8   513.2   549.5   608.6   885.4  5551.5 30258.4  38214.6    38289
read      483.8   883.3   160.7   214.2   229.2   377.2   464.7   516.7   554.2   593.6   638.7   723.9  3440.4 11842.2 32482.9  20548.8    20658
read      470.5   842.9   160.7   215.3   229.6   382.5   458.9   497.1   522.0   548.1   584.5   647.3  3096.5  9703.1 36609.1  13889.2    13840
read      357.2   362.9   160.7   208.7   221.2   297.4   346.1   380.6   408.0   446.7   502.0   605.2  1416.5  3489.8 11571.6  93244.8    93419
read      311.9   271.6   160.7   204.7   214.8   276.1   314.3   339.3   360.5   389.4   431.9   500.3   651.3  2971.5 10647.5  98254.8    98284
read      331.2   296.8   148.8   206.4   217.8   285.3   332.3   368.4   399.4   440.3   492.3   553.1   684.6  3261.5 11497.8  71244.4    71313
read      353.2   269.5   160.7   207.4   219.5   297.9   377.0   432.1   467.3   503.2   540.1   588.6   730.4  2460.1 12384.1  42004.4    42089
read      345.6   193.4   160.7   207.7   219.7   295.3   365.7   419.1   456.0   493.8   533.5   582.6   710.8  2256.6  6345.8  46409.8    46458
read      441.6   606.2   160.7   214.6   227.8   363.5   448.3   496.3   531.6   576.2   637.5   740.1  1905.8  6833.1 30815.2  30700.2    30755
read      360.7   281.1   160.7   209.2   221.4   304.1   382.0   434.5   469.0   504.3   543.0   595.2   784.1  3178.4 10020.8  43057.8    42889
read      322.0   213.3   160.7   207.5   219.3   286.0   328.0   356.5   379.4   410.6   455.4   520.5   671.4  3096.8  7496.4  93566.2    93552
read      339.2   313.5   160.7   207.8   220.1   291.9   343.3   383.3   417.7   460.0   508.3   566.7   731.2  3003.7 11733.6  65779.6    65694
read      458.7   716.1   160.7   216.7   230.9   371.7   453.6   503.8   542.1   591.7   650.8   742.7  2215.1  9881.4 31998.2  29493.6    29574
read      351.7   251.1   160.7   210.1   222.7   299.9   364.6   414.7   452.8   493.5   537.5   591.1   730.0  2843.7  9899.1  51455.6    51355
read      351.8   286.5   160.7   210.0   222.5   301.4   358.8   399.4   432.2   472.3   522.5   588.9   861.9  3503.3 11170.4  67586.8    67361
read      519.6  1085.0   173.5   221.5   236.5   394.2   476.8   521.9   553.5   589.9   634.8   729.7  3816.8 12311.4 34180.9  16179.8    16287
read      344.9   284.0   160.7   207.4   219.5   289.9   338.1   372.5   402.9   444.9   499.8   582.5  1254.8  3024.8  8548.0  81539.4    81508
read      314.8   202.5   160.7   205.0   215.4   278.6   318.4   346.1   370.9   404.2   454.5   520.5   655.1  2586.0  6873.5  87618.0    87619
read      310.4   206.6   160.7   205.6   216.2   277.1   314.3   338.8   359.4   387.1   428.8   496.0   639.2  2507.0  8236.1  99021.2    99068
read      338.0   248.4   160.7   205.6   216.8   288.9   348.0   399.1   437.2   477.3   520.0   571.6   687.8  2561.5  7888.8  51289.4    51267
read      472.1   965.2   160.7   218.9   232.6   379.0   441.7   473.5   496.7   523.8   559.7   639.5  3058.8 11784.5 35147.0  11925.8    11822
read      378.7   470.2   148.8   211.8   224.4   304.4   348.7   380.0   405.6   442.1   497.4   622.3  1808.9  4716.9 16799.9  97558.4    97494
read      318.4   259.6   160.7   206.3   217.7   282.7   323.1   350.5   372.6   401.8   443.5   505.2   655.3  3315.8  9677.3  97222.6    97350
read      341.6   207.8   160.7   207.1   219.1   293.2   351.3   398.9   436.5   477.9   523.4   580.1   741.6  2487.0  7273.9  55397.6    55460
read      329.7   320.0   160.7   207.2   219.1   286.9   331.7   363.6   390.1   424.9   471.5   538.5   699.3  3469.6 11708.0  86142.2    85984
read      327.9   259.0   160.7   207.6   219.5   287.3   332.2   364.3   391.6   427.7   475.7   542.1   682.5  3043.8 11360.5  82108.8    82043
read      345.8   388.3   160.7   206.7   218.7   292.6   353.7   402.8   441.1   482.6   526.6   580.6   738.1  3087.1 12338.3  52829.0    52873
read      461.1   704.4   160.7   218.4   232.2   385.0   456.4   494.3   520.5   549.3   586.6   658.4  2748.6  7269.1 31096.3  13854.0    13911
read      362.8   310.6   160.7   207.7   220.3   304.0   373.9   426.2   464.0   504.3   549.3   614.4   887.1  3460.1 11061.8  50083.8    49984
read      482.8  1063.1   160.7   223.7   241.7   373.4   424.4   451.9   469.8   493.3   524.7   604.1  3632.6 12141.6 36303.8   9294.8     9274
read      465.0   621.1   160.7   213.2   228.9   378.4   466.1   527.7   573.2   620.4   674.4   760.9  2509.6  7418.7 29660.5  27222.6    27187
read      463.9   794.7   160.7   212.7   227.3   372.9   463.8   512.6   544.6   578.4   617.9   683.7  2564.7  7912.4 32414.6  18728.2    18735
read      335.5   333.2   148.8   206.1   217.7   287.2   333.4   365.4   393.0   430.4   481.8   559.5   943.3  3688.7 10764.7  86570.2    86505
read      326.1   291.6   160.7   207.3   219.1   286.3   329.3   358.8   382.7   415.0   459.9   525.0   693.2  3091.4 11318.5  93048.6    93039
read      327.2   271.8   160.7   206.2   217.4   283.9   328.2   361.5   391.0   431.1   483.2   547.1   725.3  2929.4  8790.4  75999.2    75999
read      400.9   385.5   160.7   211.1   224.2   337.2   426.9   473.3   504.6   539.4   584.5   664.7  1419.3  4361.5 10950.4  32299.4    32324
read      333.6   409.1   160.7   207.4   219.2   288.8   335.9   369.3   398.1   436.3   490.0   565.8   862.2  2360.6 14238.8  84211.4    84255
read      327.8   291.9   160.7   207.7   219.6   286.5   330.3   362.0   388.8   425.4   475.4   541.9   681.4  3081.0 14258.4  81705.4    81759
read      370.9   377.0   148.8   209.8   222.3   311.1   398.2   451.2   484.5   518.1   553.7   606.3   787.4  3634.6 12477.5  37163.4    37291
read      347.6   427.4   160.7   206.7   218.6   292.0   351.3   398.8   436.6   479.2   524.9   579.1   722.9  3698.9 11027.0  53802.4    53818
read      424.7   476.0   160.7   211.4   225.4   361.6   444.6   493.9   530.1   572.9   626.7   716.3  1452.3  5096.7 17540.3  30242.0    30297
read      425.9   500.2   160.7   209.9   223.6   357.7   438.1   485.2   520.2   565.4   624.3   720.4  1871.4  6352.6 21548.0  31732.0    31569
read      365.0   333.1   160.7   207.5   219.7   304.1   389.4   440.1   473.4   508.1   545.4   599.1   854.7  4501.1 11001.3  38876.4    38927
read      446.3   820.5   160.7   219.5   234.0   371.4   429.6   458.5   477.9   501.2   534.3   591.9  2512.1 12051.1 34696.1  10661.2    10652
read      362.7   316.1   160.7   207.4   219.5   291.9   332.7   360.0   384.2   421.6   482.1   646.7  1643.0  3230.7  8321.6  97836.2    98119
read      347.4   214.8   160.7   207.5   219.5   295.6   363.6   415.8   452.9   493.1   536.0   587.6   722.7  2811.7  7434.8  48181.6    48176
read      358.4   288.1   160.7   207.3   219.5   305.2   392.1   440.5   471.4   503.1   536.6   582.0   729.5  3069.7  9733.8  34836.6    34929
read      343.0   279.7   160.7   208.6   220.8   296.2   350.4   389.3   420.4   460.2   510.6   574.9   737.0  3025.2  8412.5  69603.0    69735
read      447.7   714.8   160.7   213.3   227.1   366.3   450.7   500.1   534.7   571.6   613.6   680.6  2498.5  7370.0 31640.1  20807.2    20753
read      350.5   325.3   160.7   207.7   219.7   290.9   337.8   371.3   401.4   444.0   501.7   590.6  1422.8  3476.0  9683.1  84509.4    84642
read      350.3   275.6   160.7   206.1   217.7   296.9   371.9   423.7   458.2   493.6   530.9   577.9   700.4  2748.5 12256.8  42265.8    42333
read      342.8   230.5   160.7   208.0   220.2   295.5   351.5   394.5   429.7   472.6   521.5   582.3   746.4  2696.8  8230.3  61481.6    61587
read      335.2   323.2   160.7   208.0   220.0   291.5   340.1   373.5   401.9   439.7   490.0   554.8   695.2  3015.5 10457.5  78005.2    77998
read      321.5   284.5   160.7   206.5   217.9   283.6   324.5   352.0   373.9   403.6   448.1   513.9   706.6  2876.7  9132.3  97573.0    97625
read      460.1   778.5   160.7   216.1   230.1   373.3   458.5   511.2   552.9   598.0   647.2   727.9  1750.0 11188.4 31788.7  23707.6    23781
read      364.8   445.3   160.7   207.7   219.8   296.1   352.1   395.2   432.5   479.5   535.3   618.4  1383.4  5049.4 16040.0  66764.0    66723
read      434.9   609.1   160.7   211.1   224.6   357.9   439.3   486.4   521.6   567.6   630.6   734.5  1727.1  7610.2 30966.8  31050.2    31016
read      355.1   329.1   160.7   206.3   217.8   293.9   365.9   420.7   457.8   496.4   537.9   591.2   835.4  4216.0 10848.9  47282.4    47394
read      323.9   267.5   160.7   207.2   219.2   288.0   330.6   358.4   380.3   409.7   453.1   519.1   673.6  2809.2 10742.8  95334.8    95335
read      513.0  1437.0   173.5   241.4   263.8   348.4   380.8   399.9   415.1   432.6   463.0   570.4  4213.6 25648.6 37360.8   5324.6     5252
read      341.8   235.7   160.7   207.3   219.4   292.0   345.0   386.6   421.8   466.3   519.1   582.1   871.8  2791.4  8310.4  65791.2    65908
read      474.3   727.9   160.7   219.5   233.3   386.0   472.0   521.0   553.9   588.5   629.8   708.3  2605.9  9528.7 30357.8  16992.2    16889
read      372.4   438.2   160.7   209.6   222.0   307.4   388.5   443.1   480.0   518.1   560.0   619.2   867.9  5028.5 23238.6  43016.4    42912
read      322.9   270.9   160.7   207.9   219.8   286.2   326.8   354.0   375.1   403.9   446.9   509.9   679.0  3520.5 11146.9  99840.2    99898
read      453.3   632.9   160.7   213.7   228.0   370.8   454.8   507.3   549.5   600.8   656.5   742.1  1929.6  6914.8 30792.7  26374.6    26385
read      487.7   859.4   160.7   214.4   228.8   374.2   467.7   528.8   569.2   610.7   658.3   748.1  3312.0 11546.4 35656.8  22601.0    22616
read      354.2   298.4   160.7   207.5   219.5   295.2   363.3   416.5   455.4   496.7   540.8   598.5   834.8  4341.2  9161.0  50620.0    50605
read      316.6   221.5   160.7   206.0   216.8   279.6   319.2   346.6   370.0   401.4   450.2   520.8   667.6  2804.0  8128.0  90333.6    90283
read      468.2   724.5   160.7   213.5   228.1   371.9   457.8   511.2   555.3   606.5   664.3   756.8  2735.6  8602.3 28363.1  26282.8    26273
read      391.7   641.5   160.7   210.5   223.2   311.3   386.1   438.6   477.4   519.4   565.8   637.7  1116.4  8297.8 31637.9  48622.0    48521
read      382.4   441.8   160.7   209.6   222.1   318.6   410.0   457.3   488.1   521.0   558.7   618.2   903.9  5815.5 19322.9  34180.2    34058
read      333.9   309.3   160.7   207.3   219.2   287.7   333.6   366.5   395.2   434.1   485.4   552.0   745.3  3479.1 11767.1  75438.0    75648
read      449.8   699.1   160.7   215.4   229.4   372.4   458.8   507.6   541.6   578.2   620.1   687.3  1942.1  8727.0 31723.1  19325.2    19482
read      475.4   928.7   160.7   218.3   231.5   385.8   469.5   511.3   538.5   568.4   603.7   669.0  3048.2  8535.8 39459.6  14988.4    15054
read      346.9   288.1   160.7   208.5   220.6   292.4   341.6   378.3   411.8   455.8   509.2   588.8  1090.6  3341.1  8744.3  75837.4    75754
read      505.8  1257.4   187.4   247.0   271.5   357.1   391.2   410.6   427.0   447.7   477.9   607.1  4226.5 23756.0 36733.6   5135.8     5187
read      463.5   639.6   173.5   219.1   233.5   377.6   468.0   517.8   549.8   584.5   624.6   694.8  2994.9  7764.4 30204.9  17627.0    17656
read      353.7   365.4   160.7   210.0   222.4   298.9   343.8   373.2   398.2   431.9   480.8   565.2  1507.1  4018.9 10507.3  96159.4    96343
read      358.2   277.2   160.7   207.6   219.8   305.1   390.9   441.1   472.9   504.7   538.2   584.3   719.9  2554.0 11588.7  36544.4    36665
read      332.7   238.6   160.7   208.0   220.1   292.8   340.3   371.5   397.1   430.3   476.0   543.8   739.3  2988.2  6753.2  85218.4    85269
read      420.4   502.2   160.7   209.9   223.3   352.1   433.1   478.6   511.5   551.6   613.3   713.6  1611.7  5766.8 17348.7  31428.2    31525
read      447.8   656.2   160.7   209.8   222.1   305.4   373.3   428.3   474.3   528.9   601.6   980.3  3223.4  8346.6 14667.8  61831.2    61798
read      459.2   833.1   160.7   217.8   230.8   374.8   440.9   474.4   498.4   526.3   561.3   626.5  3147.8 11497.0 32127.8  12278.0    12253
read      477.1   874.4   160.7   214.5   229.7   374.1   461.1   524.1   569.8   615.3   667.7   754.4  2167.2 11717.5 32418.0  25763.8    25710
read      346.0   357.2   160.7   207.4   219.3   291.1   339.9   374.6   404.8   446.0   499.2   577.9  1107.4  3944.7 12054.3  80009.2    79937
read      403.6   575.6   173.5   236.3   255.9   355.3   390.5   409.9   425.7   443.8   467.9   516.5  1687.3  7303.7 28093.4   7250.0     7271
read      328.6   270.0   160.7   207.9   219.8   289.1   334.2   365.1   390.4   423.8   469.7   537.8   684.5  3121.8  9789.5  85764.6    85861
read      333.8   379.2   160.7   207.1   219.0   287.3   330.5   359.9   384.2   416.9   463.5   533.9   761.7  5457.2 11469.4  91641.2    91467
read      331.2   249.8   160.7   207.2   219.0   288.0   335.8   370.6   400.9   442.2   495.6   560.6   692.3  2971.3 11233.8  72212.6    72217
read      362.3   339.3   160.7   208.0   220.1   310.1   400.4   444.7   471.8   500.2   532.4   577.7   733.6  4058.5  9413.2  30913.4    31080
read      335.0   225.5   160.7   209.0   221.0   293.0   342.2   377.7   406.5   445.4   496.4   565.9   715.8  2760.6  8568.3  76818.2    76878
read      331.5   294.6   160.7   207.6   219.5   290.2   337.1   368.5   394.3   428.5   475.3   542.6   706.2  3301.9 11632.1  84859.0    84584
read      383.0   370.0   173.5   222.1   235.7   362.7   406.2   428.4   443.8   461.4   484.1   522.0   825.8  5609.1 12740.9  12559.2    12492
read      361.5   220.5   160.7   213.6   226.3   315.3   378.9   422.6   457.0   497.2   542.3   606.3   850.5  2363.1  5533.7  56851.2    57106
read      324.9   186.7   160.7   209.8   222.1   295.1   340.6   369.9   393.2   422.3   461.2   520.6   638.2  1590.4  8686.4  95830.6    96245
read      392.3   377.4   173.5   248.9   272.7   366.8   397.2   414.9   427.9   443.7   466.2   508.8   787.1  7544.9 13749.1   6774.2     6791
read      332.8   163.6   160.7   211.3   223.9   303.0   352.4   383.7   406.9   436.3   475.3   536.4   668.3  1513.0  8094.0  90449.0    90728
read      387.4   371.1   173.5   254.6   278.2   356.9   382.7   397.8   409.4   426.4   450.6   499.9   920.5  6469.1 13337.1   5184.6     5151
read      334.0   179.1   160.7   211.0   223.3   301.6   353.1   386.1   411.2   443.0   484.3   546.7   674.8  1443.7  6412.6  82811.6    82969
read      372.1   251.6   160.7   216.0   228.6   326.0   403.3   451.1   483.4   519.3   561.2   618.6   759.4  2301.7  8571.8  42684.0    42635
read      325.4   179.2   160.7   210.7   223.0   296.4   341.0   369.4   391.8   419.7   457.4   516.0   640.5  1826.4  6754.3  99193.6    99337
read      328.1   237.4   160.7   209.8   221.7   291.7   335.6   364.1   386.8   416.4   458.9   524.2   703.3  2963.3  7776.4  95274.0    95192
read      344.7   207.4   160.7   212.5   224.5   301.9   354.6   392.9   424.8   465.4   516.6   582.6   744.4  2711.3  8068.7  69169.4    69200
read      359.4   248.4   160.7   212.3   224.8   310.3   377.1   426.3   463.1   503.7   547.5   602.6   750.1  2369.3  9235.6  49534.4    49459
read      382.6   449.7   160.7   214.2   226.7   331.7   423.2   465.6   492.3   520.5   551.2   599.2   780.0  4331.5 17186.1  28963.8    29055
read      359.1   287.6   160.7   214.0   226.4   309.9   369.3   410.8   445.0   486.5   536.9   605.4   827.2  3017.0  8614.6  64255.2    64324
read      386.9   447.6   173.5   251.2   276.4   354.3   380.4   396.0   406.6   423.4   444.3   493.3   800.3  7859.4 16012.1   5713.6     5705
read      335.2   232.6   160.7   211.0   223.0   296.0   343.2   374.7   401.0   434.7   481.0   546.3   729.7  2824.2  8524.9  84522.2    84816
read      379.6   320.9   160.7   215.6   227.5   346.1   428.0   463.2   485.8   508.8   538.2   582.2   747.0  3312.0 12552.8  23517.8    23714
read      345.1   218.8   160.7   212.5   224.6   303.3   357.2   392.8   421.5   458.6   506.7   572.1   744.0  2791.7  8133.5  74169.2    74116
read      387.4   488.6   160.7   217.4   229.0   358.0   426.3   456.8   476.2   497.9   525.1   567.8   743.4  6126.9 20136.2  19894.8    19948
read      365.0   246.3   160.7   213.0   225.2   312.0   388.7   440.9   477.5   515.9   556.5   610.0   788.9  2964.4  9406.9  43970.6    44213
read      387.7   303.3   160.7   219.8   232.2   366.3   434.6   465.0   485.5   506.8   534.9   577.8   729.8  4015.2 11745.2  19448.6    19454
read      394.4   456.5   187.4   242.6   263.9   360.5   390.7   406.0   420.1   434.2   458.8   499.9  1256.5  7064.8 16542.0   7164.8     7190
read      363.4   204.7   160.7   215.7   227.9   320.5   388.4   432.3   465.7   503.0   543.8   594.6   771.6  2386.0  8084.8  47443.0    47657
read      358.4   234.6   160.7   211.0   223.3   306.4   380.4   432.7   468.5   506.0   545.0   593.8   770.1  2905.0  8989.1  44303.6    44399
read      393.6   535.1   173.5   245.6   268.8   357.1   386.6   401.8   415.3   430.4   453.2   494.6   869.7  7924.6 24617.8   6511.8     6481
read      395.1   464.2   187.4   252.3   275.4   361.8   390.4   405.2   419.1   432.9   457.1   502.8   845.9  8305.2 16436.2   5745.0     5807
read      342.1   233.9   160.7   210.2   222.7   301.0   353.0   387.3   414.3   448.9   494.6   560.2   805.1  2529.5  8202.5  82886.6    83137
read      393.9   348.6   173.5   234.7   253.3   371.9   408.6   428.4   442.5   460.8   485.3   531.2   859.8  4610.5 12661.6   9594.0     9580
read      376.5   285.8   160.7   214.4   226.9   323.5   405.7   454.8   487.2   521.6   559.1   610.7   828.2  3452.3 11118.9  37381.6    37385
read      368.2   234.8   160.7   210.5   223.1   317.4   411.5   459.4   489.3   520.0   553.1   601.3   747.1  2508.1  9373.2  33710.8    33706
