#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end,cpu
read,404.7,535.2,160.7,246.0,277.2,365.3,396.2,414.9,429.4,448.8,475.4,531.6,747.5,9662.6,19771.0,4954.8,5000,1684331525625,1684331531018,0.0
read,411.9,501.0,160.7,227.9,252.7,387.4,425.6,445.9,461.0,479.4,506.5,555.5,734.8,8573.7,16314.5,9864.0,10000,1684331532523,1684331537876,18.0
read,409.5,252.9,160.7,222.9,245.1,400.3,451.0,475.6,496.0,519.4,548.8,606.5,792.1,2929.7,12690.7,14941.4,15000,1684331539379,1684331544689,26.0
read,400.1,303.8,160.7,218.7,237.1,383.9,443.1,470.6,492.7,517.3,548.8,609.8,803.5,3242.9,15090.1,19958.4,20000,1684331546193,1684331551509,28.0
read,392.0,267.3,160.7,214.9,231.5,367.0,433.6,467.2,492.0,520.5,556.4,622.2,806.1,3454.5,12190.6,25161.4,25000,1684331553011,1684331558323,41.9
read,411.9,258.8,148.8,218.2,237.0,390.1,454.4,490.7,516.6,546.2,586.4,660.5,869.0,2479.1,10122.8,30056.4,30000,1684331559827,1684331565105,55.9
read,397.4,242.8,160.7,215.5,233.1,375.7,437.5,471.5,498.0,528.2,566.8,634.2,848.1,2429.8,9141.0,35012.5,35000,1684331566608,1684331571892,57.9
read,399.3,211.9,148.8,212.8,231.0,379.3,441.4,476.0,502.3,533.3,574.4,645.1,859.0,1647.8,8629.3,39977.8,40000,1684331573395,1684331578705,67.9
read,404.9,278.3,148.8,213.6,231.0,379.5,445.1,482.2,509.6,542.9,587.5,672.3,891.2,1670.1,12603.8,45132.5,45000,1684331580208,1684331585510,59.9
read,387.9,260.6,148.8,208.5,224.8,365.0,428.3,463.2,489.6,521.0,562.0,634.3,857.4,1999.1,8456.6,50149.0,50000,1684331587013,1684331592299,79.9
read,375.5,209.8,160.7,207.2,222.2,348.6,413.7,449.5,475.2,507.6,548.5,622.0,836.9,1800.4,8032.8,54940.0,55000,1684331593802,1684331599093,77.9
read,369.6,233.5,148.8,205.0,219.2,335.5,402.4,440.6,468.3,503.1,546.4,624.9,853.6,1754.0,8750.7,60190.0,60000,1684331600596,1684331605884,91.9
read,367.7,234.4,148.8,205.6,219.9,332.7,399.6,436.4,463.8,498.2,542.1,619.0,857.4,1953.0,9318.1,64997.6,65000,1684331607386,1684331612679,99.9
read,365.2,236.2,148.8,204.5,219.2,329.4,395.7,432.3,460.0,494.2,538.8,618.7,854.0,1902.0,9664.1,70203.2,70000,1684331614182,1684331619486,111.8
read,363.9,240.3,148.8,204.2,218.3,326.5,393.3,430.3,457.7,491.7,537.4,619.1,864.0,1930.6,8893.9,75054.4,75000,1684331620989,1684331626287,117.8
read,358.1,208.6,148.8,203.3,216.3,322.2,388.6,425.5,452.9,486.2,530.6,606.7,827.0,2032.1,8138.2,80062.8,80000,1684331627791,1684331633081,91.8
read,359.2,202.6,148.8,203.0,217.2,326.3,391.6,427.2,453.1,484.2,527.0,600.6,826.7,1847.4,7888.7,84926.8,85000,1684331634584,1684331639875,137.8
read,348.4,220.4,148.8,203.1,215.9,313.1,374.1,409.5,435.3,466.8,510.0,585.5,798.4,1803.8,9993.9,90047.2,90000,1684331641378,1684331646666,141.7
read,353.6,190.4,148.8,204.2,218.5,321.9,383.1,417.9,443.7,474.5,518.1,591.0,800.4,1532.8,7561.9,95063.4,95000,1684331648169,1684331653474,149.8
read,345.6,191.4,137.8,204.9,218.3,314.6,370.9,403.7,429.6,460.8,503.0,574.2,763.3,1479.7,7974.0,100051.5,100000,1684331654978,1684331660277,151.7
read,333.2,214.2,148.8,203.3,215.5,304.5,355.9,386.2,408.4,436.9,476.4,542.6,722.5,1339.8,8750.5,104978.2,105000,1684331661779,1684331667068,145.8
read,352.6,188.1,160.7,209.4,224.2,323.9,377.3,408.4,432.0,461.8,502.5,576.0,780.0,1709.5,7853.7,110202.2,110000,1684331668571,1684331673847,163.7
read,332.6,152.8,160.7,206.1,219.4,306.3,355.0,384.0,404.9,433.1,470.8,536.6,709.0,1424.1,4572.3,115016.5,115000,1684331675350,1684331680653,159.7
read,354.0,196.1,160.7,210.2,225.8,329.4,380.2,410.0,432.8,461.5,500.6,570.0,744.7,1214.2,9258.8,120012.0,120000,1684331682157,1684331687446,169.6
read,424.5,230.6,160.7,230.2,254.5,391.7,458.9,501.7,536.2,578.7,633.3,715.5,880.0,1323.3,9056.0,124709.0,125000,1684331688949,1684331694226,187.7
Warning!,Detected,max,cpu,usage,>,95%
CPU,Usage,Stats,(avg/min/max):,81.91%,28.14%,100.00%
